"APPLICATION_NAME","FULL_NAME","TEXT","DATA_MODEL_URL","MINISTRY_NAME","DIVISION_NAME","BRANCH_NAME","SECTION_NAME","APPLICATION_CLASS_CODE"
SPS,Sales Parcel System,"The Sales Parcel System(SPS) is an add-on to the PTS and manages industry requests for oil & gas rights information. Staff build the parcel and manipulate it as they negotiate the term with the client. Once an agreement is reached SPS deposits the information in PTS. **************INFORMATION FLOW:**************** Industry submits requests to have parcels description information generated to go up for auction.  The branch staff receive this by fax, email, or phone and manually enter it into SPS. SPS then generates a file which is manually copied via FTP to a file share on the EARTH mainframe server where PTS is located using the PTS useraccount to do so.  Alternatively industry members can submit these requests through  the PTOnline website [PTO]. PTO parcel requests are then transferred to SPS one time per monthly auction period. PTO can also transfer information from SPS to PTSA or from PTS to PTSA. After the initial set of auction requests come in and SPS has entered all the manual submissions and posted the file on the EARTH FTP share, branch staff will use a desktop Application Smart Term to access PTS and import the file that was submitted from SPS.  Change to the Parcel requests can also be made either manually through SPS, or through PTOnline, but PTO changes need to be updated manually in SPS and PTS. To identify changes a PTO report is run showing the parcel request changes.  SPS is limited in that it cannot only view the current Parcel description. So branch staff use ArcMap and a Python script to bring together some tables and spatial information from PTA/PTSA to create one (Read-only) feature class. This allows the viewing each date that information was submitted by staff through SPS and PTS.

Historically belonging to: Ministry of Energy, Mines and Petroleum Resources, Oil and Gas Division, Tenure and Geoscience Branch, Tenure and Revenue Management",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,STD
SRIS,Soil Relocation Info System,"The soil relocation provisions in the Environmental Management Act (EMA) were amended in March 2020 (Bill 3) to streamline requirements, establish a robust and transparent notification system, and introduce additional requirements for sites receiving high soil volumes across the province. These changes will ensure soil is being relocated appropriately and will improve ENV oversight. Subsequently, changes to the Contaminated Sites Regulation (CSR) are required to align with the amendments to EMA. The online form is needed to support this initiative. The Soil Relocation Information System (SRIS) was established to display soil relocation notifications and high volume receiving site registrations and to allow Indigenous Nations, local governments and other interested people to access information on soil relocation activity in B.C.
Proxy Accounts/DataBC Accounts 
o PX.SOIL.MOVEMENT
o PX.SRIS.CHEFSTOAGOL


SoilRelocation@gov.bc.ca email should be included as a contact for SRIS accounts

",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Authorizations and Remediation Branch,Site Remediation Program,PAAS
SSDB,Summary  Statistics Data Base - RETIRED,"26 Sept 2019:  David Bayne reported retired to IITD PM as part of ENV database migration.

A system to provide direct regional access to an integrated data base of current and historic animal mortality, location of harvests and hunter effort data.",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=58937&p_ivid=354572426255983098089169479783912965,"Ministry of Water, Land and Resource Stewardship",N/A,N/A,N/A,STD
SSL,Snow Survey Location,"Snow Surveys and Locations will contain the various snow related datasets such as Automatic Snow Pillow Locations, Active/Inactive Snow Course Locations and Snow Survey Administrative Basin Areas. The datasets under this container will be useful to Hydrologists in the Government, Public and Resource industry. (e.g., Forestry Logging Company)",,Ministry of Environment and Climate Change Strategy,Environmental Protection,Environmental Monitoring and Analysis,"Lab Services, Data Management & Reporting",DS
SSP,Security Software Patching - RETIRED,"SSP queries the software listed on servers through IMIS_f and assesses the versions for security vulnerabilities and active exploits.  This assists in identifying the priority in which server based software should be patched or replaced.

From: Kraak, Louis IIT:EX
This is a distributed application that uses info from IMIS to find server vulnerabilities.  an API & cron service to host an exploit DB for internal lookups  is planned... (phase 2), but this has been heavily delayed due to other projects taking priority. 


Historically belonging to: Ministry of Environment and Climate Change Strategy, Information Innovation and Technology Division, Investment Governance and Business Strategy, Investment Portfolio and Governance",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Business Service Desk & Product Transition,LW
SSRS,SSRS Reports,"Status re-verified as per BPM - Nov 2019

This application will work in conjunction with Wildfire Management Branch`s SSRS (SQL Server Reporting System) application to provide additional flexibility not availble within SSRS.

It will allow users to set their default fire centre, and allow for other action  such as permitting the provincial fire control staff to enter this week`s activities so that it will appear on the corresponding report.

All data will reside on WMB`s SQL servers.",,Ministry of Forests,BC Wildfire Service,N/A,N/A,STD
STASH,IMB BitBucket (Stash),"BitBucket (renamed from Stash) is a Git repository management application. It enables collaboration on Git repositories, while providing enterprise-grade support for,     user authentication, repository security, and JIRA integration.
",,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
STE/TEIS,Soil Terrain Ecosystems/Terrestrial Ecosystem Information System (DATA LOAD),"Legacy application - The Dataload FME scripts are managed by GEOBC, for loading into the LRDW.",https://a100.gov.bc.ca/int/robread/odwa_fol.go?p_session_id=58937&p_ivid=354572422105060738578614294106838533,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,Integrated Data and Analysis Services,Ecosystem Information,DS
STES,Stumpage Estimator Service,"A set of tools to allow users to calculate the Stumpage rate of a specific geographic polygon as part of OLTC in NRSOS.  Reliant on CVOSS for timber volume estimates.

Note 2024-07-22: stes-estimator-api & stes-stumpage-rates-api have been removed from ISSS tomcat servers & WSO2/RP servers as part of cleanup/remediation efforts.",,Ministry of Forests,"Timber, Range and Economics Division",Timber Pricing Branch,N/A,ISSSSVC
SUITT,Spatial Update Integrated Tools Tantalis ,"SUITT is used by one user in GeoBC - Scott Macphail to upload LTSA survey plan geometry into Tantalis. 

Note: SDBE tools replacement based on an updated ISDUT for the Crown Land Tenure System Consolidation and Integration(CLTSCI) capital project

Reminder: ALWAYS VIEW NOTES for more info

FIRST POINT OF CONTACT: Business Service Desk",,"Ministry of Water, Land and Resource Stewardship","Reconciliation, Lands and Natural Resource Policy Division",N/A,N/A,ISSSCA
SVN,Subversion,Subversion is used as the definitive media library (DML) for application deliveries. It is intended that Subversion will contain all application and database source code.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
SVNEDGE,Subversion Edge,Subversion Edge is a web application that provides a management console for our SVN repository. It also provides a browser based repository viewer.,,"Ministry of Water, Land and Resource Stewardship",Natural Resource Information & Digital Services,"Infrastructure, Operations and Project Services",Application Infrastructure,COTS
SWIS,Special Waste Information System,"SWIS is used to monitor the Generation(Consignor), Transportation(Transporter) and final destination(Consignee) of Hazardous Waste in BC. Special Waste Information System (SWIS) (British Columbia) contains Data on hazardous waste and the generation and transport of special waste in British Columbia.  There are approximately 200,000 records in the database The main users of the data are transporters and generators of special waste. There are no security protocols restricting access to this database, or the use or disclosure of the data. The data are collected under the authority of the Waste Management Act: Special Waste Regulations. The Cronjob that copies transporter information from SWIS to SWIS Apex runs daily at 5:30pm.
",https://erstudio.nrs.gov.bc.ca/getDiagImage.spg?image=4f67f4aae6194861a1dba3e0d520bc79,Ministry of Environment and Climate Change Strategy,Environmental Protection,Digital Services,N/A,STD
